Q1(S),Q2(A),Q3(D),Q4(A),Q5(D),Q6(S),Q7(A),Q8(S),Q9(A),Q10(D),Q11(S),Q12(S),Q13(D),Q14(S),Q15(A),Q16(D),Q17(D),Q18(S),Q19(A),Q20(A),Q21(D),TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,familysize,Str,Anx,Dep,Depression,Anxiety,Stress,family,family_enc,age class,age_enc
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,7,1,7,1,7,1,7,3,1,1,20,4,42,42,42,4,4,4,Nuclear,2,18-25,0
3,0,3,0,3,3,1,0,0,3,3,3,3,3,0,3,3,3,3,0,3,1,7,3,6,2,1,1,5,2,1,3,1,1,38,2,36,8,42,4,1,4,Nuclear,2,36-45,2
2,3,1,3,1,1,3,3,3,1,1,3,1,1,3,1,1,2,3,1,1,5,1,4,7,5,6,7,2,2,4,3,3,1,38,5,26,38,14,2,4,3,Nuclear,2,36-45,2
1,0,0,0,0,2,0,0,1,1,1,2,1,0,0,2,1,1,1,1,1,2,2,4,5,4,6,6,5,3,5,2,3,2,21,2,14,6,12,1,0,0,Nuclear,2,18-25,0
1,1,1,2,1,2,0,1,1,1,1,1,1,0,1,1,0,2,1,1,0,5,6,6,6,6,5,6,3,5,4,3,3,2,55,6,16,14,10,1,2,1,Joint,1,46-60,3
1,1,0,0,2,0,0,1,1,0,0,1,1,1,0,1,1,0,2,1,0,4,5,5,5,6,6,5,6,5,1,3,2,2,49,3,8,10,10,1,2,0,Nuclear,2,46-60,3
2,3,2,0,3,1,0,2,3,3,2,2,3,2,2,2,2,3,2,1,1,7,1,3,5,5,1,7,6,2,1,2,2,2,42,1,28,22,32,4,4,3,Nuclear,2,36-45,2
2,0,2,0,1,2,0,0,0,2,0,2,2,1,0,1,3,3,0,0,3,1,4,4,5,4,6,5,3,1,6,2,3,1,18,2,20,0,28,4,0,2,Nuclear,2,18-25,0
2,0,1,0,1,2,0,2,0,1,3,3,2,1,1,0,1,1,1,0,1,5,6,6,5,7,3,6,2,5,2,2,2,1,35,2,28,4,14,2,0,3,Nuclear,2,26-35,1
1,0,0,0,3,1,3,2,1,1,1,3,1,1,1,1,1,3,2,1,0,4,5,6,4,4,5,6,4,4,3,4,3,2,29,4,24,16,14,2,3,2,Nuclear,2,26-35,1
1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,6,7,6,1,6,7,7,2,7,3,2,2,1,18,2,6,4,6,0,0,0,Nuclear,2,18-25,0
1,0,1,0,1,1,1,2,1,1,1,1,1,0,0,1,1,1,0,1,1,5,5,5,5,5,5,5,3,3,3,4,1,1,41,4,14,6,14,2,0,0,Nuclear,2,36-45,2
3,0,3,1,3,3,1,2,3,3,2,3,2,1,1,2,2,1,3,3,1,5,3,3,5,5,4,6,5,1,4,2,3,2,18,3,30,24,32,4,4,3,Nuclear,2,18-25,0
3,0,1,1,2,3,0,3,0,1,3,3,2,1,2,1,2,3,1,0,1,4,6,7,7,2,4,1,5,1,2,2,1,1,36,2,38,8,20,2,1,4,Nuclear,2,36-45,2
1,0,0,0,1,2,0,0,1,0,2,1,0,2,0,0,0,3,0,0,0,4,5,7,4,6,2,5,2,5,2,2,2,2,33,8,22,2,2,0,0,2,Joint,1,26-35,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,6,7,7,5,6,6,6,6,6,4,2,2,29,5,12,14,14,2,2,0,Nuclear,2,26-35,1
3,3,3,3,3,3,3,3,0,3,3,3,3,0,3,3,0,2,3,3,3,6,1,6,7,4,7,7,7,4,4,3,3,2,54,2,34,36,36,4,4,4,Nuclear,2,46-60,3
3,1,3,0,0,3,1,1,1,2,3,3,3,0,0,1,3,3,0,1,3,4,5,7,5,4,7,6,4,3,4,2,2,2,18,2,32,8,30,4,1,3,Nuclear,2,18-25,0
2,1,0,0,3,1,0,0,0,0,2,1,1,1,0,0,2,0,0,0,1,2,5,3,4,2,4,2,1,3,3,3,2,2,30,3,14,2,14,2,0,0,Nuclear,2,26-35,1
2,0,1,0,1,1,0,1,1,2,2,1,2,1,1,2,1,1,0,0,1,5,5,4,6,4,2,1,1,1,2,4,2,1,35,2,18,4,20,2,0,1,Nuclear,2,26-35,1
2,0,2,0,1,1,0,1,3,0,1,1,2,1,1,1,1,0,1,1,1,1,2,6,7,2,7,7,5,2,3,2,3,2,18,2,14,12,16,2,2,0,Nuclear,2,18-25,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,7,1,5,7,7,1,7,2,2,1,2,18,8,2,0,0,0,0,0,Joint,1,18-25,0
0,0,1,0,1,3,0,2,2,3,0,0,0,0,1,3,3,0,0,1,3,6,2,5,7,7,3,7,3,1,2,4,3,1,22,2,10,8,28,4,1,0,Nuclear,2,18-25,0
0,0,1,0,2,0,0,0,1,0,1,1,1,0,0,2,0,1,1,1,1,2,3,5,3,6,7,7,4,5,2,3,3,2,25,2,6,6,14,2,0,0,Nuclear,2,18-25,0
2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,3,7,3,7,6,5,2,3,1,1,2,27,6,26,22,28,4,4,3,Joint,1,26-35,1
2,2,3,1,3,2,2,3,1,3,2,2,3,1,2,3,3,0,2,2,3,2,1,5,6,5,7,5,5,4,7,2,2,2,55,3,24,24,42,4,4,2,Nuclear,2,46-60,3
3,1,0,1,2,2,1,0,0,0,3,3,1,3,0,1,2,2,1,0,1,7,5,5,6,7,3,5,5,6,3,2,1,1,28,9,32,8,14,2,1,3,Joint,1,26-35,1
0,2,0,0,3,1,0,1,0,0,1,3,0,1,2,0,0,2,0,1,0,3,2,3,1,5,7,6,5,4,3,2,2,1,19,2,18,10,6,0,2,1,Nuclear,2,18-25,0
1,0,1,2,3,1,3,2,2,3,1,2,3,0,1,1,3,1,2,3,3,6,6,1,5,6,5,3,3,1,2,1,3,1,19,1,16,26,34,4,4,1,Nuclear,2,18-25,0
1,0,1,0,1,1,0,2,0,1,1,2,2,0,0,1,1,0,2,0,1,5,1,6,6,6,3,6,4,3,2,3,3,2,40,3,14,4,16,2,0,0,Nuclear,2,36-45,2
2,3,2,0,2,2,0,2,3,3,2,3,1,1,2,3,3,1,0,0,3,2,6,4,7,3,5,6,2,1,2,2,2,1,23,1,26,16,34,4,3,3,Nuclear,2,18-25,0
3,1,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,6,5,6,6,7,3,5,5,2,2,2,1,21,2,38,36,42,4,4,4,Nuclear,2,18-25,0
